sku,name,category_name,brand,sale_price,store_name
5003885-EA-000,White Sugar,Pantry,Pams,0.21,pak'nsave
5003834-EA-000,Raw Sugar,Pantry,Pams,0.22,pak'nsave
5003829-EA-000,Pure Plain Flour,Pantry,Pams,0.13,pak'nsave
5003683-EA-000,Soft Brown Sugar,Pantry,Pams,0.22,pak'nsave
5003844-EA-000,Self Raising Flour,Pantry,Pams,0.17,pak'nsave
5003754-EA-000,High Grade Flour,Pantry,Pams,0.17,pak'nsave
5003830-EA-000,Pure Plain Flour,Pantry,Pams,0.16,pak'nsave
5003757-EA-000,Icing Sugar,Pantry,Pams,0.22,pak'nsave
5007137-EA-000,Baking Soda,Pantry,Pams,0.44,pak'nsave
5034682-EA-000,Panko Breadcrumbs,Pantry,Pams,1.22,pak'nsave
5004938-EA-000,High Grade Flour,Pantry,Pams,0.14,pak'nsave
5007274-EA-000,Cocoa Powder,Pantry,Pams,1.6,pak'nsave
5004759-EA-000,Coarse Breadcrumbs,Pantry,Pams,0.73,pak'nsave
5003698-EA-000,Caster Sugar,Pantry,Pams,0.22,pak'nsave
5004782-EA-000,White Sugar,Pantry,Pams,0.21,pak'nsave
5003676-EA-000,Fine Breadcrumbs,Pantry,Pams,0.73,pak'nsave
5203150-EA-000,Lemon Baking Juice,Pantry,Pams,0.84,pak'nsave
5004770-EA-000,Milk Compound Chocolate Buttons,Pantry,Pams,1.1,pak'nsave
5006062-EA-000,Sweetened Dried Cranberries,Pantry,Pams,18.6,pak'nsave
5005337-EA-000,Wholemeal Flour,Pantry,Pams,0.16,pak'nsave
5018400-EA-000,Thread Coconut,Pantry,Pams,14.76,pak'nsave
5003886-EA-000,White Sugar,Pantry,Pams,0.2,pak'nsave
5024311-EA-000,Maize Cornflour,Pantry,Pams,0.4,pak'nsave
5003846-EA-000,Sliced Almonds,Pantry,Pams,2.7,pak'nsave
5003710-EA-000,Dark Compound Chocolate Drops,Pantry,Pams,1.1,pak'nsave
5003880-EA-000,Walnut Pieces,Pantry,Pams,2.84,pak'nsave
5003664-EA-000,Baking Powder,Pantry,Pams,0.87,pak'nsave
5040268-EA-000,Dark Compound Chocolate Chips,Pantry,Pams,1.1,pak'nsave
5003718-EA-000,Desiccated Coconut,Pantry,Pams,13.98,pak'nsave
5003884-EA-000,Wheaten Cornflour,Pantry,Pams,0.4,pak'nsave
5003759-EA-000,Icing Sugar,Pantry,Pams,0.38,pak'nsave
5020337-EA-000,White Sugar,Pantry,Pams,0.44,pak'nsave
5204562-EA-000,Black Chia Seeds,Pantry,Pams,2.25,pak'nsave
5003712-EA-000,Chopped Peanuts,Pantry,Pams,1.41,pak'nsave
5003849-EA-000,Slivered Almonds,Pantry,Pams,2.7,pak'nsave
5004764-EA-000,White Compound Chocolate Buttons,Pantry,Pams,1.1,pak'nsave
5005338-EA-000,Golden Syrup,Pantry,Pams,0.6,pak'nsave
5271639-EA-000,Vanilla Flavoured Essence,Pantry,Pams,0.16,pak'nsave
5020883-EA-000,All Purpose Active Yeast,Pantry,Pams,3.33,pak'nsave
5003881-EA-000,Walnut Halves,Pantry,Pams,2.99,pak'nsave
5003697-EA-000,Cashew Nuts,Pantry,Pams,3.13,pak'nsave
5003711-EA-000,Pitted Prunes,Pantry,Pams,18.76,pak'nsave
5004841-EA-000,Pine Nuts,Pantry,Pams,6.27,pak'nsave
5006203-EA-000,Pancake Mix,Pantry,Pams,0.8,pak'nsave
5003738-EA-000,Whole Natural Almonds,Pantry,Pams,2.7,pak'nsave
5205519-EA-000,Cooking Dark Chocolate Block,Pantry,Pams Finest,3.15,pak'nsave
5004762-EA-000,Hazelnuts,Pantry,Pams,5.7,pak'nsave
5003735-EA-000,Currants,Pantry,Pams,12,pak'nsave
5003728-EA-000,Cream Of Tartar,Pantry,Pams,2.99,pak'nsave
5004840-EA-000,Sage & Onion Stuffing Mix,Pantry,Pams,1.13,pak'nsave
5204567-EA-000,Buckwheat,Pantry,Pams Superfoods,1.11,pak'nsave
5321077-EA-000,Maple Flavoured Syrup,Pantry,Pams,0.74,pak'nsave
5320711-EA-000,Natural Peanuts,Pantry,Pams,0.74,pak'nsave
5320710-EA-000,Ground Almonds,Pantry,Pams,2.85,pak'nsave
5320429-EA-000,Wholemeal Breadcrumbs,Pantry,Pams,0.73,pak'nsave
5006228-EA-000,Dry & Sensitive Skin Facial Wipes,Health & Body,Pams,0.09,pak'nsave
5006227-EA-000,Normal & Combination Skin Facial Wipes,Health & Body,Pams,0.09,pak'nsave
5008243-EA-000,Caramel Treats Biscuits,Pantry,Pams,0.65,pak'nsave
5004741-EA-000,Barbecue Flavoured Rice Crackers,Pantry,Pams,0.99,pak'nsave
5004746-EA-000,Original Rice Crackers,Pantry,Pams,0.99,pak'nsave
5008241-EA-000,Chocolate Fingers Biscuits,Pantry,Pams,0.65,pak'nsave
5008240-EA-000,Chocolate Sandwiches Biscuits,Pantry,Pams,1.7,pak'nsave
5017512-EA-000,Mixed Flavoured Mini Rice Crackers,Pantry,Pams,1.66,pak'nsave
5005990-EA-000,Chicken Flavoured Mini Rice Crackers,Pantry,Pams,1.66,pak'nsave
5005992-EA-000,Barbecue Flavoured Mini Rice Crackers,Pantry,Pams,1.66,pak'nsave
5211919-EA-000,Dark Chocolate Cranberry Cookies,Pantry,Pams Finest,1.86,pak'nsave
5211918-EA-000,Decadent Dark Chocolate Chunk Cookies,Pantry,Pams Finest,1.86,pak'nsave
5320893-EA-000,Wheat Biscuits,Pantry,Pams,0.49,pak'nsave
5003840-EA-000,Rolled Oats,Pantry,Pams,0.32,pak'nsave
5003839-EA-000,Rolled Oats,Pantry,Pams,0.3,pak'nsave
5003723-EA-000,Cornflakes,Pantry,Pams,0.82,pak'nsave
5003838-EA-000,Rice Snaps,Pantry,Pams,0.65,pak'nsave
5016454-EA-000,Wholegrain Oats,Pantry,Pams,0.37,pak'nsave
5023128-EA-000,Berry Muesli,Pantry,Pams,0.69,pak'nsave
5005002-EA-000,Creamy Oats,Pantry,Pams,0.41,pak'nsave
5004883-EA-000,Rice Snaps,Pantry,Pams,1.01,pak'nsave
5030344-EA-000,Toasted Muesli,Pantry,Pams,0.69,pak'nsave
5023131-EA-000,Nuts & Seeds Muesli,Pantry,Pams,0.69,pak'nsave
5030341-EA-000,Natural Muesli,Pantry,Pams,0.69,pak'nsave
5020959-EA-000,Brown Sugar & Honey Instant Oats Sachets,Pantry,Pams,1.31,pak'nsave
5302626-EA-000,Cocoa Puffs Breakfast Cereal,Pantry,Pams,0.74,pak'nsave
5300114-EA-000,Berry Coconut & Chia Instant Oats Sachets,Pantry,Pams,1.31,pak'nsave
5300113-EA-000,Variety Pack Instant Oats Sachets,Pantry,Pams,1.31,pak'nsave
5298947-EA-000,Peanut Butter & Chia Granola,Pantry,Pams,1.37,pak'nsave
5298946-EA-000,Almond & Cashew Granola,Pantry,Pams,1.37,pak'nsave
5298944-EA-000,Raspberry & Cranberry Granola,Pantry,Pams,1.37,pak'nsave
5298943-EA-000,Raspberry & Cacao Granola,Pantry,Pams,1.37,pak'nsave
5003721-EA-000,Sweetened Condensed Milk,Pantry,Pams,0.76,pak'nsave
5005955-EA-000,Diced Tomatoes In Juice,Pantry,Pams,3.23,pak'nsave
5003848-EA-000,Sliced Peaches In Juice,Pantry,Pams,4.37,pak'nsave
5005953-EA-000,Diced Tomatoes In Juice With Garlic And Oregano,Pantry,Pams,3.23,pak'nsave
5004844-EA-000,Basil & Oregano Italian Diced Tomatoes,Pantry,Pams,3.23,pak'nsave
5005019-EA-000,Tomato & Basil Tuna,Pantry,Pams,12.53,pak'nsave
5003837-EA-000,Reduced Cream,Pantry,Pams,0.91,pak'nsave
5006245-EA-000,Fruit Salad In Juice,Pantry,Pams,4.37,pak'nsave
5204985-EA-000,Diced Peaches In Juice,Pantry,Pams,4.37,pak'nsave
5005988-EA-000,Mild Chilli Beans,Pantry,Pams,0.59,pak'nsave
5042119-EA-000,Brown Lentils In Brine,Pantry,Pams,2.73,pak'nsave
5003727-EA-000,Creamed Style Corn,Pantry,Pams,3.15,pak'nsave
5030340-EA-000,Four Bean Mix In Brine,Pantry,Pams,2.66,pak'nsave
5004917-EA-000,Tuna Chunks In Spring Water,Pantry,Pams,11.74,pak'nsave
5006224-EA-000,Evaporated Milk,Pantry,Pams,0.84,pak'nsave
5006214-EA-000,Diced Tomatoes With Chilli And Herb,Pantry,Pams,3.23,pak'nsave
5006118-EA-000,Sliced Pineapple In Juice,Pantry,Pams,3.98,pak'nsave
5005021-EA-000,Smoked Flavoured Tuna,Pantry,Pams,12.92,pak'nsave
5004749-EA-000,Sardines In Olive Oil,Pantry,Pams,21.6,pak'nsave
5004907-EA-000,Lemon Pepper Tuna,Pantry,Pams,12.92,pak'nsave
5030355-EA-000,Cannellini Beans In Brine,Pantry,Pams,2.66,pak'nsave
5004977-EA-000,Sweet Thai Chilli Tuna,Pantry,Pams,12.92,pak'nsave
5004735-EA-000,Tuna Chunks In Soya Oil,Pantry,Pams,12.92,pak'nsave
5006976-EA-000,Hot Chilli Beans,Pantry,Pams,0.59,pak'nsave
5003650-EA-000,Sardines In Spring Water,Pantry,Pams,21.6,pak'nsave
5092682-EA-000,Apricot Halves In Syrup,Pantry,Pams Value,3.88,pak'nsave
5210398-EA-000,Pears Quarters In Juice,Pantry,Pams,4.61,pak'nsave
5003692-EA-000,Pink Salmon,Pantry,Pams,36.1,pak'nsave
5005018-EA-000,Tomato And Basil Tuna,Pantry,Pams,12.92,pak'nsave
5003693-EA-000,Pink Salmon,Pantry,Pams,23.76,pak'nsave
5003858-EA-000,Spaghetti In Rich Tomato Sauce,Pantry,Pams,0.36,pak'nsave
5004745-EA-000,Sliced Mango In Syrup,Pantry,Pams,4.45,pak'nsave
5003753-EA-000,Halved Guavas In Syrup,Pantry,Pams,5.1,pak'nsave
5204986-EA-000,Sliced Peaches In Juice,Pantry,Pams,4.38,pak'nsave
5204987-EA-000,Fruit Salad In Juice,Pantry,Pams,4.38,pak'nsave
5003807-EA-000,Pink Salmon,Pantry,Pams,18.05,pak'nsave
5004765-EA-000,Diced Apples,Pantry,Pams,3.39,pak'nsave
5003771-EA-000,Split Red Lentils,Pantry,Pams,4.58,pak'nsave
5004973-EA-000,Whole Boysenberries In Syrup,Pantry,Pams,10.8,pak'nsave
5004744-EA-000,Sardines In Tomato Sauce,Pantry,Pams,21.6,pak'nsave
5214647-EA-000,Pure Canadian Maple Syrup,Pantry,Pams Finest,3.8,pak'nsave
5003851-EA-000,Soup Mix,Pantry,Pams,0.54,pak'nsave
5003749-EA-000,Split Green Peas,Pantry,Pams,3.78,pak'nsave
5003819-EA-000,Pearl Barley,Pantry,Pams,0.38,pak'nsave
5321075-EA-000,Chocolate Flavoured Topping,Pantry,Pams,0.5,pak'nsave
5312379-EA-000,Fruit Salad in Syrup,Pantry,Pams Value,3.88,pak'nsave
5268695-EA-000,Colby Cheese,"Fridge, Deli & Eggs",Pams,1.26,pak'nsave
5268694-EA-000,Edam Cheese,"Fridge, Deli & Eggs",Pams,1.26,pak'nsave
5268696-EA-000,Tasty Cheddar Cheese,"Fridge, Deli & Eggs",Pams,1.57,pak'nsave
5005483-EA-000,Tasty Flavoured Processed Cheese Slices,"Fridge, Deli & Eggs",Pams,1.4,pak'nsave
5005482-EA-000,Colby Flavoured Processed Cheese Slices,"Fridge, Deli & Eggs",Pams,1.4,pak'nsave
5005481-EA-000,Edam Flavoured Processed Cheese Slices,"Fridge, Deli & Eggs",Pams,1.4,pak'nsave
5007482-EA-000,Mozzarella Grated Cheese,"Fridge, Deli & Eggs",Pams,2.18,pak'nsave
5007359-EA-000,Tasty Grated Cheese,"Fridge, Deli & Eggs",Pams,2.18,pak'nsave
5007356-EA-000,Edam Cheese,"Fridge, Deli & Eggs",Pams,1.7,pak'nsave
5007358-EA-000,Tasty Cheddar Cheese,"Fridge, Deli & Eggs",Pams,1.88,pak'nsave
5268693-EA-000,Edam Natural Cheese Sticks,"Fridge, Deli & Eggs",Pams,2.8,pak'nsave
5239510-EA-000,Creamy Cheese Wedges,"Fridge, Deli & Eggs",Pams,3.49,pak'nsave
5256744-EA-000,Hand Crafted Fresh Ricotta,"Fridge, Deli & Eggs",Pams Finest,2.28,pak'nsave
5323672-EA-000,Edam Grated Cheese,"Fridge, Deli & Eggs",Pams,2.05,pak'nsave
